,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority
154,151.101.242.132,192.168.1.12,6,TLS,1442,279,2023-03-30 22:48:49.800213,1680209329.800213223,443,46912,0x0010,59615,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 8b256f759f56d9fa5f927f1c6cc9c32510fb587476917966155166c7dbc4b3f0c2783290…
	Application Data Protocol: http-over-tls
",,,,,,,,,
155,151.101.242.132,192.168.1.12,6,TLS,1442,281,2023-03-30 22:48:49.800459,1680209329.800459479,443,46912,0x0018,60991,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1395
	Encrypted Application Data: 5fa49e2e98c93c42993e140088d45e14d1e74ad92bf1278d4964216370b2242e730bccc9…
	Application Data Protocol: http-over-tls
",,,,,,,,,
156,151.101.242.132,192.168.1.12,6,TLS,765,282,2023-03-30 22:48:49.800646,1680209329.800645544,443,46912,0x0018,62367,750,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 1110
	Encrypted Application Data: 6aa8410be910971e9f112855903e49a55e2cb722d60249f60ec55b2999b3f4ec2e985560…
	Application Data Protocol: http-over-tls
",,,,,,,,,
157,151.101.242.132,192.168.1.12,6,TLS,90,286,2023-03-30 22:48:49.804674,1680209329.804673961,443,46912,0x0018,63066,751,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 19
	Encrypted Application Data: d37b42edd28b4d8e5d3c2205eb3b40beb1f2f1
	Application Data Protocol: http-over-tls
",,,,,,,,,
158,192.168.1.12,192.168.1.1,17,DNS,98,292,2023-03-30 22:48:52.445054,1680209332.445053808,,,,,,,0xd834,0,safebrowsing.googleapis.com,<Root>,1,0x0001,1,0,0
159,192.168.1.12,192.168.1.1,17,DNS,98,293,2023-03-30 22:48:52.445126,1680209332.445126050,,,,,,,0xe385,0,safebrowsing.googleapis.com,<Root>,65,0x0001,1,0,0
160,192.168.1.12,216.239.38.180,6,TLS,487,294,2023-03-30 22:48:52.446259,1680209332.446259367,51730,443,0x0018,369,1489,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 416
	Encrypted Application Data: 545b87063bdf35ba1b455ae7764a79eee96ab30207d90667740e17a40383f785a73f1136…
	Application Data Protocol: http-over-tls
",,,,,,,,,
161,192.168.1.12,216.239.38.180,6,TLS,100,295,2023-03-30 22:48:52.446376,1680209332.446376193,51730,443,0x0018,790,1489,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 29
	Encrypted Application Data: 5501ac0f0b8ee190786ddad62e43dcab53c03e4f4f20a464626cd1ed5e
	Application Data Protocol: http-over-tls
",,,,,,,,,
162,192.168.1.1,192.168.1.12,17,DNS,114,296,2023-03-30 22:48:52.450068,1680209332.450067996,,,,,,,0xd834,1,safebrowsing.googleapis.com,safebrowsing.googleapis.com,1,0x0001,1,1,0
163,192.168.1.1,192.168.1.12,17,DNS,155,297,2023-03-30 22:48:52.450068,1680209332.450068081,,,,,,,0xe385,1,safebrowsing.googleapis.com,googleapis.com,65,0x0001,1,0,1
164,216.239.38.180,192.168.1.12,6,TLS,584,320,2023-03-30 22:48:52.642921,1680209332.642921378,443,51730,0x0018,1489,824,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 513
	Encrypted Application Data: 4c5ad7e34f7b79b3b5c619752186ca0be5bebe703124be7054afbbe77a00a57b93ca5df7…
	Application Data Protocol: http-over-tls
",,,,,,,,,
165,216.239.38.180,192.168.1.12,6,TLS,100,321,2023-03-30 22:48:52.643010,1680209332.643009963,443,51730,0x0018,2007,824,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 29
	Encrypted Application Data: 65dccf26af560d25ea3e5ec429894e15480ab97bcd6bf9b98db38108ec
	Application Data Protocol: http-over-tls
",,,,,,,,,
166,216.239.38.180,192.168.1.12,6,TLS,97,323,2023-03-30 22:48:52.644470,1680209332.644470353,443,51730,0x0018,2041,824,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 26
	Encrypted Application Data: 9ebd2baeabe77d73023e962692906dd1df854a48bdefc661076c
	Application Data Protocol: http-over-tls
",,,,,,,,,
167,192.168.1.12,216.239.38.180,6,TLS,101,324,2023-03-30 22:48:52.644711,1680209332.644710540,51730,443,0x0018,824,2072,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 30
	Encrypted Application Data: e8c7e146b281b658a105672fa7160a96f8fe8d7f9ecf174ae662f2ec1575
	Application Data Protocol: http-over-tls
",,,,,,,,,
168,192.168.1.12,216.239.38.180,6,TLS,101,325,2023-03-30 22:48:52.644830,1680209332.644829695,51730,443,0x0018,859,2072,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 30
	Encrypted Application Data: 2dc4805851072e93169179b574bf63fc4e69854e46758860ab3cdcc9b06f
	Application Data Protocol: http-over-tls
",,,,,,,,,
169,216.239.38.180,192.168.1.12,6,TLS,105,326,2023-03-30 22:48:52.644862,1680209332.644862009,443,51730,0x0018,2072,824,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 2025f078cc99caf1a8765a978d587c0c5bbca581e58763dbddd10ffed03c05f17b1d
	Application Data Protocol: http-over-tls
",,,,,,,,,
170,192.168.1.12,216.239.38.180,6,TLS,105,327,2023-03-30 22:48:52.644928,1680209332.644927463,51730,443,0x0018,894,2111,"Layer TLS:
	TLSv1.2 Record Layer: Application Data Protocol: http-over-tls
	Content Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 34
	Encrypted Application Data: 8bffefb55f5599fd109f3eecd3925cdfab15d477c0a5612fe8fe9e01d69befaa828f
	Application Data Protocol: http-over-tls
",,,,,,,,,
171,192.168.1.12,216.239.38.180,6,TLS,1466,328,2023-03-30 22:48:52.647793,1680209332.647792662,51730,443,0x0010,933,2111,"Layer TLS:
",,,,,,,,,
