,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls
0,192.168.1.12,192.168.1.1,17,DNS,90,3,2023-03-30 22:46:03.907343,1680209163.907342796,0x076c,0,www.dailymail.co.uk,<Root>,1,0x0001,1,0,0,,,,,,
1,192.168.1.12,192.168.1.1,17,DNS,90,4,2023-03-30 22:46:03.907422,1680209163.907421520,0x89dc,0,www.dailymail.co.uk,<Root>,28,0x0001,1,0,0,,,,,,
2,192.168.1.1,192.168.1.12,17,DNS,187,5,2023-03-30 22:46:03.912287,1680209163.912286662,0x076c,1,www.dailymail.co.uk,www.dailymail.co.uk,1,0x0001,1,3,0,,,,,,
3,192.168.1.1,192.168.1.12,17,DNS,227,6,2023-03-30 22:46:03.914362,1680209163.914362074,0x89dc,1,www.dailymail.co.uk,www.dailymail.co.uk,28,0x0001,1,4,0,,,,,,
4,192.168.1.12,2.20.158.84,6,TLS,583,10,2023-03-30 22:46:03.989686,1680209163.989686338,,,,,,,,,,47832,443,0x0018,1,1,"Layer TLS:
"
27,2.20.158.84,192.168.1.12,6,TLS,787,165,2023-03-30 22:46:04.815414,1680209164.815413654,,,,,,,,,,443,47832,0x0018,156640,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 9356
	Encrypted Application Data: 42580a174cde29ab761196b05ed9dc9300d646132cd53a36d1d4b6d54aa079c367bde885…
	Application Data Protocol: http-over-tls
"
28,2.20.158.84,192.168.1.12,6,TLS,8706,166,2023-03-30 22:46:04.818311,1680209164.818311416,,,,,,,,,,443,47832,0x0010,157361,957,"Layer TLS:
"
29,2.20.158.84,192.168.1.12,6,TLS,632,173,2023-03-30 22:46:04.819463,1680209164.819463537,,,,,,,,,,443,47832,0x0018,173201,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: bf8a50b33d7aeefae1e88fac97e3f14d006098b51127660c31d0685a82445667bd2f8616…
	Application Data Protocol: http-over-tls
"
30,2.20.158.84,192.168.1.12,6,TLS,1506,175,2023-03-30 22:46:04.820239,1680209164.820239216,,,,,,,,,,443,47832,0x0010,173767,957,"Layer TLS:
"
31,2.20.158.84,192.168.1.12,6,TLS,942,184,2023-03-30 22:46:04.822652,1680209164.822652002,,,,,,,,,,443,47832,0x0018,182407,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 9511
	Encrypted Application Data: b99a46b209722a83eb51872bdd007124cfb62e4267f831139ba91e27d85e90c914052c92…
	Application Data Protocol: http-over-tls
"
32,2.20.158.84,192.168.1.12,6,TLS,14466,185,2023-03-30 22:46:04.824271,1680209164.824270966,,,,,,,,,,443,47832,0x0010,183283,957,"Layer TLS:
"
33,2.20.158.84,192.168.1.12,6,TLS,632,188,2023-03-30 22:46:04.824671,1680209164.824670578,,,,,,,,,,443,47832,0x0018,199123,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: 15d8946a73101b3cf64768272db5f752816ded07627b7ef4aad8f4632301286dcbe26cbc…
	Application Data Protocol: http-over-tls
"
34,2.20.158.84,192.168.1.12,6,TLS,2946,190,2023-03-30 22:46:04.826630,1680209164.826630151,,,,,,,,,,443,47832,0x0010,199689,957,"Layer TLS:
"
35,2.20.158.84,192.168.1.12,6,TLS,75,198,2023-03-30 22:46:04.828656,1680209164.828655777,,,,,,,,,,443,47832,0x0018,208329,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 8644
	Encrypted Application Data: b7bb6118bf80733a5bbd68ef0936dff37e08b2d5fd3da996275aeb030ad1c62285b02cb0…
	Application Data Protocol: http-over-tls
"
36,2.20.158.84,192.168.1.12,6,TLS,1506,199,2023-03-30 22:46:04.829302,1680209164.829302062,,,,,,,,,,443,47832,0x0010,208338,957,"Layer TLS:
"
37,2.20.158.84,192.168.1.12,6,TLS,632,213,2023-03-30 22:46:04.830337,1680209164.830336898,,,,,,,,,,443,47832,0x0018,224178,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: 90ba11114087365099d8df3c5c362c85491ab80d459da7d5e5f4d5876665e4035899ba9f…
	Application Data Protocol: http-over-tls
"
38,2.20.158.84,192.168.1.12,6,TLS,1506,214,2023-03-30 22:46:04.830992,1680209164.830992505,,,,,,,,,,443,47832,0x0010,224744,957,"Layer TLS:
"
39,2.20.158.84,192.168.1.12,6,TLS,842,222,2023-03-30 22:46:04.833491,1680209164.833491278,,,,,,,,,,443,47832,0x0018,231944,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 7971
	Encrypted Application Data: 2b93f273e0aed6f26ab5d25d377d37369f836d0a778fe533677ad615faef2971189a18a4…
	Application Data Protocol: http-over-tls
"
40,2.20.158.84,192.168.1.12,6,TLS,7266,223,2023-03-30 22:46:04.836724,1680209164.836724291,,,,,,,,,,443,47832,0x0010,232720,957,"Layer TLS:
"
41,2.20.158.84,192.168.1.12,6,TLS,632,229,2023-03-30 22:46:04.837317,1680209164.837316734,,,,,,,,,,443,47832,0x0018,248560,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: b1f393ac4658094d5b1b77768c015202146b9beef29d59851f0d808796b8fb8d8ad164f5…
	Application Data Protocol: http-over-tls
"
42,2.20.158.84,192.168.1.12,6,TLS,1506,231,2023-03-30 22:46:04.838000,1680209164.838000202,,,,,,,,,,443,47832,0x0010,249126,957,"Layer TLS:
"
43,2.20.158.84,192.168.1.12,6,TLS,498,240,2023-03-30 22:46:04.839513,1680209164.839513133,,,,,,,,,,443,47832,0x0018,257766,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 9067
	Encrypted Application Data: 03538f43ad2ac8ef1834157565e25ec17d0cdd02916410870b3d4db411ebf927f6a0c474…
	Application Data Protocol: http-over-tls
"
44,2.20.158.84,192.168.1.12,6,TLS,14466,241,2023-03-30 22:46:04.841145,1680209164.841144611,,,,,,,,,,443,47832,0x0010,258198,957,"Layer TLS:
"
45,2.20.158.84,192.168.1.12,6,TLS,632,244,2023-03-30 22:46:04.842803,1680209164.842803285,,,,,,,,,,443,47832,0x0018,274038,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 16401
	Encrypted Application Data: d08ab1cd7d48d753a4bbf0251f52964a06cfec19897dba7f1a61d3eeb8bcd596e93c1a55…
	Application Data Protocol: http-over-tls
"
46,2.20.158.84,192.168.1.12,6,TLS,8321,246,2023-03-30 22:46:04.843522,1680209164.843522292,,,,,,,,,,443,47832,0x0018,274604,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 8250
	Encrypted Application Data: d96d608697ef1517fcc33d7e5531df18c97bba0da23517cfb5c73972cd57b6e9bdea9c74…
	Application Data Protocol: http-over-tls
"
47,2.20.158.84,192.168.1.12,6,TLS,2946,247,2023-03-30 22:46:04.843536,1680209164.843536043,,,,,,,,,,443,47832,0x0010,282859,957,"Layer TLS:
"
48,2.20.158.84,192.168.1.12,6,TLS,2269,255,2023-03-30 22:46:04.844594,1680209164.844594356,,,,,,,,,,443,47832,0x0018,292939,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 12278
	Encrypted Application Data: a9bf0bb9ca4417921b997387ba50b32ef0585573e540547b156d6f2c1f2d4d8e3bb46004…
	Application Data Protocol: http-over-tls
"
49,2.20.158.84,192.168.1.12,6,TLS,96,257,2023-03-30 22:46:04.844690,1680209164.844690254,,,,,,,,,,443,47832,0x0018,295142,957,"Layer TLS:
	TLSv1.3 Record Layer: Application Data Protocol: http-over-tls
	Opaque Type: Application Data (23)
	Version: TLS 1.2 (0x0303)
	Length: 25
	Encrypted Application Data: a76795ac1f82cf039dde3efd9717165de0df1ef2676eee99e5
	Application Data Protocol: http-over-tls
"
50,2.20.158.84,192.168.1.12,6,TLS,90,258,2023-03-30 22:46:04.844931,1680209164.844930729,,,,,,,,,,443,47832,0x0018,295172,957,"Layer TLS:
