,ip.src,ip.dst,ip.proto,highest_layer,length,number,sniff_time,sniff_timestamp,dns.id,dns.flags.response,dns.qry.name,dns.resp.name,dns.qry.type,dns.qry.class,dns.count.queries,dns.count.answers,dns.count.authority,tcp.srcport,tcp.dstport,tcp.flags,tcp.seq,tcp.ack,tls
0,192.168.1.12,192.168.1.1,17,DNS,73,1,2023-03-30 05:50:54.566393,1680148254.566393204,0x4ff5,0,www.bbc.co.uk,,1,0x0001,1,0,0,,,,,,
1,192.168.1.12,192.168.1.1,17,DNS,73,2,2023-03-30 05:50:54.566503,1680148254.566503401,0x6f5e,0,www.bbc.co.uk,,28,0x0001,1,0,0,,,,,,
2,192.168.1.1,192.168.1.12,17,DNS,198,3,2023-03-30 05:50:54.583214,1680148254.583214240,0x6f5e,1,www.bbc.co.uk,www.bbc.co.uk,28,0x0001,1,2,1,,,,,,
3,192.168.1.1,192.168.1.12,17,DNS,153,4,2023-03-30 05:50:54.583482,1680148254.583482256,0x4ff5,1,www.bbc.co.uk,www.bbc.co.uk,1,0x0001,1,3,0,,,,,,
4,192.168.1.12,192.168.1.1,17,DNS,78,5,2023-03-30 05:50:54.583520,1680148254.583520332,0x752b,0,bbc.map.fastly.net,,28,0x0001,1,0,0,,,,,,
5,192.168.1.1,192.168.1.12,17,DNS,78,6,2023-03-30 05:50:54.584202,1680148254.584201880,0x752b,1,bbc.map.fastly.net,,28,0x0001,1,0,0,,,,,,
6,192.168.1.12,151.101.240.81,6,TLS,583,10,2023-03-30 05:50:54.684616,1680148254.684615620,,,,,,,,,,50998,443,0x0018,1,1,"Layer TLS:
	Type: application_layer_protocol_negotiation (16)
	Type: encrypt_then_mac (22)
	Type: extended_master_secret (23)
	Type: post_handshake_auth (49)
	Type: signature_algorithms (13)
	Type: supported_versions (43)
	Type: psk_key_exchange_modes (45)
	Type: key_share (51)
	Type: padding (21)
	Length: 4
	Length: 22
	Length: 11
	Length: 0
	Length: 0
	Length: 0
	Length: 42
	Length: 5
	Length: 2
	Length: 38
	Length: 159
	EC point format: ansiX962_compressed_prime (1)
	EC point format: ansiX962_compressed_char2 (2)
	Supported Group: secp256r1 (0x0017)
	Supported Group: x448 (0x001e)
	Supported Group: secp521r1 (0x0019)
	Supported Group: secp384r1 (0x0018)
	Supported Group: ffdhe2048 (0x0100)
	Supported Group: ffdhe3072 (0x0101)
	Supported Group: ffdhe4096 (0x0102)
	Supported Group: ffdhe6144 (0x0103)
	Supported Group: ffdhe8192 (0x0104)
	Signature Algorithm: ecdsa_secp384r1_sha384 (0x0503)
	Signature Algorithm: ecdsa_secp521r1_sha512 (0x0603)
	Signature Algorithm: ed25519 (0x0807)
	Signature Algorithm: ed448 (0x0808)
	Signature Algorithm: rsa_pss_pss_sha256 (0x0809)
	Signature Algorithm: rsa_pss_pss_sha384 (0x080a)
	Signature Algorithm: rsa_pss_pss_sha512 (0x080b)
	Signature Algorithm: rsa_pss_rsae_sha256 (0x0804)
	Signature Algorithm: rsa_pss_rsae_sha384 (0x0805)
	Signature Algorithm: rsa_pss_rsae_sha512 (0x0806)
	Signature Algorithm: rsa_pkcs1_sha256 (0x0401)
	Signature Algorithm: rsa_pkcs1_sha384 (0x0501)
